,núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
5121,4652.0,2016.0,Noviembre,25.0,Viernes,1.0,1.0,1.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,999.0,Gris,9999.0,6.0,4.0
5124,4664.0,2016.0,Noviembre,26.0,Sabado,23.0,4.0,3.0,1.0,101.0,1.0,5.0,,,,,,,,4.0,6.0,Varios,9999.0,6.0,4.0
5134,4706.0,2016.0,Noviembre,27.0,Domingo,14.0,3.0,2.0,7.0,701.0,2.0,99.0,,,,,,,,4.0,52.0,Rojo,9999.0,6.0,4.0
5140,4782.0,2016.0,Diciembre,3.0,Sabado,16.0,3.0,2.0,19.0,1907.0,2.0,99.0,,,,,,,,4.0,999.0,Rojo,2017.0,5.0,4.0
5150,4906.0,2016.0,Diciembre,12.0,Lunes,1.0,1.0,1.0,1.0,101.0,1.0,7.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,4.0
5156,4977.0,2016.0,Diciembre,17.0,Sabado,18.0,4.0,3.0,5.0,506.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,4.0
5164,5035.0,2016.0,Diciembre,20.0,Martes,21.0,4.0,3.0,20.0,2001.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,9999.0,6.0,4.0
5167,5048.0,2016.0,Diciembre,21.0,Miercoles,18.0,4.0,3.0,20.0,2001.0,1.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,4.0
5169,5052.0,2016.0,Diciembre,21.0,Miercoles,2.0,1.0,1.0,13.0,1301.0,1.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,4.0
5172,5091.0,2016.0,Diciembre,24.0,Sabado,4.0,1.0,1.0,10.0,1004.0,2.0,99.0,,,,,,,,4.0,6.0,Azul,2017.0,5.0,4.0
5175,5105.0,2016.0,Diciembre,25.0,Domingo,12.0,3.0,2.0,1.0,110.0,2.0,99.0,,,,,,,,4.0,6.0,Rojo,9999.0,6.0,4.0
5186,5156.0,2016.0,Diciembre,28.0,Miercoles,8.0,2.0,1.0,2.0,202.0,2.0,99.0,,,,,,,,4.0,18.0,Negro,9999.0,6.0,4.0
5198,5207.0,2016.0,Enero,1.0,Viernes,3.0,1.0,1.0,4.0,407.0,2.0,99.0,,,,,,,,4.0,5.0,Rojo,9999.0,6.0,5.0
5225,5234.0,2016.0,Enero,5.0,Martes,9.0,2.0,1.0,15.0,1504.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
5232,5241.0,2016.0,Enero,6.0,Miercoles,12.0,3.0,2.0,5.0,502.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,2013.0,5.0,5.0
5274,5283.0,2016.0,Enero,12.0,Martes,7.0,2.0,1.0,4.0,401.0,1.0,99.0,,,,,,,,4.0,32.0,Rojo,2013.0,5.0,5.0
5333,5342.0,2016.0,Enero,21.0,Jueves,21.0,4.0,3.0,5.0,507.0,2.0,99.0,,,,,,,,4.0,67.0,Rojo,9999.0,6.0,5.0
5450,5459.0,2016.0,Febrero,2.0,Martes,19.0,4.0,3.0,6.0,602.0,2.0,99.0,,,,,,,,4.0,27.0,Varios,2012.0,5.0,5.0
5471,5480.0,2016.0,Febrero,5.0,Viernes,8.0,2.0,1.0,1.0,101.0,1.0,21.0,,,,,,,,4.0,999.0,Negro,9999.0,6.0,5.0
5540,5549.0,2016.0,Febrero,12.0,Viernes,20.0,4.0,3.0,13.0,1327.0,2.0,99.0,,,,,,,,4.0,1.0,Rojo,9999.0,6.0,5.0
5647,5656.0,2016.0,Febrero,23.0,Martes,10.0,2.0,1.0,6.0,614.0,1.0,99.0,,,,,,,,4.0,54.0,Rojo,9999.0,6.0,5.0
5665,5674.0,2016.0,Febrero,26.0,Viernes,23.0,4.0,3.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,32.0,Rojo,2015.0,5.0,5.0
5692,5701.0,2016.0,Febrero,29.0,Lunes,18.0,4.0,3.0,1.0,101.0,1.0,7.0,,,,,,,,4.0,35.0,Negro,2012.0,5.0,5.0
5757,5766.0,2016.0,Marzo,6.0,Domingo,15.0,3.0,2.0,9.0,901.0,1.0,99.0,,,,,,,,4.0,20.0,Rojo,2015.0,5.0,5.0
5810,5819.0,2016.0,Marzo,12.0,Sabado,22.0,4.0,3.0,17.0,1711.0,2.0,99.0,,,,,,,,4.0,18.0,Rojo,9999.0,6.0,5.0
5823,5832.0,2016.0,Marzo,13.0,Domingo,12.0,3.0,2.0,9.0,901.0,1.0,99.0,,,,,,,,4.0,45.0,Negro,9999.0,6.0,5.0
5884,5893.0,2016.0,Marzo,20.0,Domingo,7.0,2.0,1.0,14.0,1401.0,2.0,99.0,,,,,,,,4.0,53.0,Azul,2007.0,4.0,5.0
5885,5894.0,2016.0,Marzo,20.0,Domingo,18.0,4.0,3.0,14.0,1413.0,2.0,99.0,,,,,,,,4.0,103.0,Blanco,9999.0,6.0,5.0
5902,5911.0,2016.0,Marzo,23.0,Miercoles,17.0,3.0,2.0,11.0,1101.0,1.0,99.0,,,,,,,,4.0,32.0,Azul,2013.0,5.0,5.0
5911,5920.0,2016.0,Marzo,24.0,Jueves,19.0,4.0,3.0,4.0,403.0,1.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,5.0
5913,5922.0,2016.0,Marzo,24.0,Jueves,7.0,2.0,1.0,3.0,301.0,2.0,99.0,,,,,,,,4.0,18.0,Rojo,9999.0,6.0,5.0
5916,5925.0,2016.0,Marzo,25.0,Viernes,19.0,4.0,3.0,15.0,1507.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,9999.0,6.0,5.0
5922,5931.0,2016.0,Marzo,26.0,Sabado,22.0,4.0,3.0,16.0,1613.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,2014.0,5.0,5.0
5973,5982.0,2016.0,Abril,2.0,Sabado,3.0,1.0,1.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,3.0,Amarillo,2015.0,5.0,5.0
6008,6017.0,2016.0,Abril,7.0,Jueves,12.0,3.0,2.0,5.0,511.0,2.0,99.0,,,,,,,,4.0,32.0,Azul,9999.0,6.0,5.0
6014,6023.0,2016.0,Abril,7.0,Jueves,12.0,3.0,2.0,17.0,1701.0,1.0,99.0,,,,,,,,4.0,27.0,Negro,2004.0,4.0,5.0
6084,6093.0,2016.0,Abril,17.0,Domingo,10.0,2.0,1.0,5.0,502.0,1.0,99.0,,,,,,,,4.0,3.0,Negro,9999.0,6.0,5.0
6085,6094.0,2016.0,Abril,17.0,Domingo,23.0,4.0,3.0,16.0,1615.0,2.0,99.0,,,,,,,,4.0,20.0,Azul,9999.0,6.0,5.0
6091,6100.0,2016.0,Abril,18.0,Lunes,19.0,4.0,3.0,5.0,511.0,2.0,99.0,,,,,,,,4.0,6.0,Varios,2011.0,5.0,5.0
6171,6180.0,2016.0,Abril,27.0,Miercoles,16.0,3.0,2.0,1.0,101.0,1.0,11.0,,,,,,,,4.0,6.0,Rojo,2016.0,5.0,5.0
6177,6186.0,2016.0,Abril,27.0,Miercoles,15.0,3.0,2.0,4.0,404.0,1.0,99.0,,,,,,,,4.0,6.0,Rojo,2016.0,5.0,5.0
6178,6187.0,2016.0,Abril,27.0,Miercoles,15.0,3.0,2.0,3.0,302.0,2.0,99.0,,,,,,,,4.0,32.0,Gris,9999.0,6.0,5.0
6187,6196.0,2016.0,Abril,29.0,Viernes,19.0,4.0,3.0,1.0,111.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,9999.0,6.0,5.0
6203,6212.0,2016.0,Mayo,1.0,Domingo,22.0,4.0,3.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,27.0,Rojo,2006.0,4.0,5.0
6209,6218.0,2016.0,Mayo,1.0,Domingo,22.0,4.0,3.0,16.0,1613.0,2.0,99.0,,,,,,,,4.0,6.0,Rojo,9999.0,6.0,5.0
6211,6220.0,2016.0,Mayo,1.0,Domingo,16.0,3.0,2.0,14.0,1401.0,2.0,99.0,,,,,,,,4.0,27.0,Negro,2011.0,5.0,5.0
6246,6255.0,2016.0,Mayo,8.0,Domingo,17.0,3.0,2.0,9.0,921.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,2010.0,5.0,5.0
6271,6280.0,2016.0,Mayo,13.0,Viernes,18.0,4.0,3.0,11.0,1106.0,1.0,99.0,,,,,,,,4.0,6.0,Rojo,2008.0,4.0,5.0
6366,6375.0,2016.0,Mayo,28.0,Sabado,22.0,4.0,3.0,1.0,104.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,2016.0,5.0,5.0
6403,6412.0,2016.0,Junio,2.0,Jueves,15.0,3.0,2.0,16.0,1613.0,2.0,99.0,,,,,,,,4.0,35.0,Rojo,2010.0,5.0,5.0
6415,6424.0,2016.0,Junio,4.0,Sabado,4.0,1.0,1.0,1.0,101.0,1.0,7.0,,,,,,,,4.0,999.0,Corinto,9999.0,6.0,5.0
6515,6524.0,2016.0,Junio,18.0,Sabado,20.0,4.0,3.0,1.0,101.0,1.0,12.0,,,,,,,,4.0,27.0,Azul,9999.0,6.0,5.0
6525,6534.0,2016.0,Junio,19.0,Domingo,10.0,2.0,1.0,20.0,2001.0,1.0,99.0,,,,,,,,4.0,999.0,Blanco,9999.0,6.0,5.0
6530,6539.0,2016.0,Junio,19.0,Domingo,20.0,4.0,3.0,12.0,1202.0,1.0,99.0,,,,,,,,4.0,32.0,Negro,9999.0,6.0,5.0
6534,6543.0,2016.0,Junio,20.0,Lunes,19.0,4.0,3.0,5.0,509.0,1.0,99.0,,,,,,,,4.0,32.0,Rojo,9999.0,6.0,5.0
6557,6566.0,2016.0,Junio,25.0,Sabado,16.0,3.0,2.0,6.0,609.0,2.0,99.0,,,,,,,,4.0,54.0,Azul,2013.0,5.0,5.0
6570,6579.0,2016.0,Junio,26.0,Domingo,18.0,4.0,3.0,4.0,404.0,2.0,99.0,,,,,,,,4.0,76.0,Negro,2016.0,5.0,5.0
6587,6596.0,2016.0,Junio,29.0,Miercoles,20.0,4.0,3.0,2.0,204.0,2.0,99.0,,,,,,,,4.0,76.0,Rojo,2015.0,5.0,5.0
6589,6598.0,2016.0,Junio,29.0,Miercoles,13.0,3.0,2.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,32.0,Rojo,9999.0,6.0,5.0
6591,6600.0,2016.0,Junio,29.0,Miercoles,12.0,3.0,2.0,5.0,501.0,1.0,99.0,,,,,,,,4.0,43.0,Corinto,9999.0,6.0,5.0
6602,6611.0,2016.0,Junio,30.0,Jueves,15.0,3.0,2.0,5.0,501.0,1.0,99.0,,,,,,,,4.0,67.0,Anaranjado,2015.0,5.0,5.0
6615,6624.0,2016.0,Julio,1.0,Viernes,17.0,3.0,2.0,22.0,2201.0,2.0,99.0,,,,,,,,4.0,77.0,Negro,2014.0,5.0,5.0
6628,6637.0,2016.0,Julio,3.0,Domingo,5.0,1.0,1.0,14.0,1418.0,2.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,5.0
6639,6648.0,2016.0,Julio,5.0,Martes,13.0,3.0,2.0,1.0,114.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,2013.0,5.0,5.0
6647,6656.0,2016.0,Julio,6.0,Miercoles,19.0,4.0,3.0,4.0,401.0,2.0,99.0,,,,,,,,4.0,3.0,Rojo,2016.0,5.0,5.0
6694,6703.0,2016.0,Julio,13.0,Miercoles,20.0,4.0,3.0,11.0,1105.0,2.0,99.0,,,,,,,,4.0,67.0,Azul,9999.0,6.0,5.0
6721,6730.0,2016.0,Julio,17.0,Domingo,15.0,3.0,2.0,1.0,109.0,1.0,99.0,,,,,,,,4.0,67.0,Rojo,9999.0,6.0,5.0
6724,6733.0,2016.0,Julio,17.0,Domingo,19.0,4.0,3.0,11.0,1101.0,1.0,99.0,,,,,,,,4.0,6.0,Azul,2013.0,5.0,5.0
6734,6743.0,2016.0,Julio,18.0,Lunes,18.0,4.0,3.0,16.0,1616.0,2.0,99.0,,,,,,,,4.0,67.0,Azul,9999.0,6.0,5.0
6810,6819.0,2016.0,Julio,30.0,Sabado,19.0,4.0,3.0,1.0,101.0,1.0,6.0,,,,,,,,4.0,6.0,Azul,9999.0,6.0,5.0
6823,6832.0,2016.0,Julio,31.0,Domingo,19.0,4.0,3.0,13.0,1301.0,2.0,99.0,,,,,,,,4.0,32.0,Rojo,9999.0,6.0,5.0
6824,6833.0,2016.0,Julio,31.0,Domingo,21.0,4.0,3.0,18.0,1803.0,1.0,99.0,,,,,,,,4.0,64.0,Negro,9999.0,6.0,5.0
6835,6844.0,2016.0,Agosto,2.0,Martes,11.0,2.0,1.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,72.0,Rojo,2006.0,4.0,5.0
6842,6851.0,2016.0,Agosto,3.0,Miercoles,13.0,3.0,2.0,5.0,502.0,2.0,99.0,,,,,,,,4.0,18.0,Negro,9999.0,6.0,5.0
6856,6865.0,2016.0,Agosto,5.0,Viernes,15.0,3.0,2.0,11.0,1102.0,2.0,99.0,,,,,,,,4.0,67.0,Blanco,9999.0,6.0,5.0
6864,6873.0,2016.0,Agosto,6.0,Sabado,14.0,3.0,2.0,1.0,113.0,2.0,99.0,,,,,,,,4.0,67.0,Azul,2009.0,4.0,5.0
6871,6880.0,2016.0,Agosto,6.0,Sabado,15.0,3.0,2.0,7.0,710.0,2.0,99.0,,,,,,,,4.0,77.0,Amarillo,9999.0,6.0,5.0
6877,6886.0,2016.0,Agosto,7.0,Domingo,20.0,4.0,3.0,21.0,2106.0,2.0,99.0,,,,,,,,4.0,6.0,Azul,2013.0,5.0,5.0
6880,6889.0,2016.0,Agosto,7.0,Domingo,10.0,2.0,1.0,13.0,1312.0,2.0,99.0,,,,,,,,4.0,64.0,Negro,9999.0,6.0,5.0
6884,6893.0,2016.0,Agosto,7.0,Domingo,17.0,3.0,2.0,14.0,1415.0,2.0,99.0,,,,,,,,4.0,6.0,Rojo,2014.0,5.0,5.0
6888,6897.0,2016.0,Agosto,8.0,Lunes,10.0,2.0,1.0,1.0,101.0,1.0,7.0,,,,,,,,4.0,18.0,Amarillo,2015.0,5.0,5.0
6890,6899.0,2016.0,Agosto,8.0,Lunes,13.0,3.0,2.0,3.0,301.0,1.0,99.0,,,,,,,,4.0,53.0,Amarillo,2007.0,4.0,5.0
6896,6905.0,2016.0,Agosto,9.0,Martes,13.0,3.0,2.0,6.0,611.0,2.0,99.0,,,,,,,,4.0,32.0,Rojo,2010.0,5.0,5.0
6908,6917.0,2016.0,Agosto,10.0,Miercoles,21.0,4.0,3.0,11.0,1102.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,2006.0,4.0,5.0
6921,6930.0,2016.0,Agosto,12.0,Viernes,22.0,4.0,3.0,18.0,1803.0,2.0,99.0,,,,,,,,4.0,67.0,Azul,9999.0,6.0,5.0
6924,6933.0,2016.0,Agosto,12.0,Viernes,22.0,4.0,3.0,1.0,117.0,2.0,99.0,,,,,,,,4.0,6.0,Azul,2014.0,5.0,5.0
6937,6946.0,2016.0,Agosto,14.0,Domingo,11.0,2.0,1.0,1.0,101.0,1.0,1.0,,,,,,,,4.0,6.0,Negro,2016.0,5.0,5.0
6943,6952.0,2016.0,Agosto,14.0,Domingo,20.0,4.0,3.0,11.0,1101.0,1.0,99.0,,,,,,,,4.0,18.0,Negro,9999.0,6.0,5.0
6947,6956.0,2016.0,Agosto,15.0,Lunes,13.0,3.0,2.0,18.0,1801.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,9999.0,6.0,5.0
6949,6958.0,2016.0,Agosto,15.0,Lunes,16.0,3.0,2.0,3.0,303.0,2.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,5.0
6952,6961.0,2016.0,Agosto,16.0,Martes,10.0,2.0,1.0,5.0,501.0,1.0,99.0,,,,,,,,4.0,18.0,Negro,9999.0,6.0,5.0
6960,6969.0,2016.0,Agosto,17.0,Miercoles,12.0,3.0,2.0,12.0,1201.0,1.0,99.0,,,,,,,,4.0,6.0,Negro,2014.0,5.0,5.0
6962,6971.0,2016.0,Agosto,17.0,Miercoles,18.0,4.0,3.0,3.0,301.0,2.0,99.0,,,,,,,,4.0,77.0,Negro,9999.0,6.0,5.0
6965,6974.0,2016.0,Agosto,18.0,Jueves,19.0,4.0,3.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,6.0,Negro,2010.0,5.0,5.0
6969,6978.0,2016.0,Agosto,18.0,Jueves,16.0,3.0,2.0,12.0,1202.0,1.0,99.0,,,,,,,,4.0,32.0,Varios,9999.0,6.0,5.0
6973,6982.0,2016.0,Agosto,19.0,Viernes,12.0,3.0,2.0,9.0,901.0,1.0,99.0,,,,,,,,4.0,77.0,Anaranjado,2014.0,5.0,5.0
6974,6983.0,2016.0,Agosto,19.0,Viernes,23.0,4.0,3.0,16.0,1615.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
6982,6991.0,2016.0,Agosto,20.0,Sabado,17.0,3.0,2.0,2.0,207.0,2.0,99.0,,,,,,,,4.0,76.0,Rojo,9999.0,6.0,5.0
6987,6996.0,2016.0,Agosto,20.0,Sabado,17.0,3.0,2.0,2.0,201.0,1.0,99.0,,,,,,,,4.0,76.0,Rojo,9999.0,6.0,5.0
6993,7002.0,2016.0,Agosto,21.0,Domingo,17.0,3.0,2.0,8.0,801.0,2.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,5.0
7002,7011.0,2016.0,Agosto,22.0,Lunes,12.0,3.0,2.0,10.0,1002.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
7018,7027.0,2016.0,Agosto,25.0,Jueves,14.0,3.0,2.0,1.0,109.0,1.0,99.0,,,,,,,,4.0,6.0,Azul,2016.0,5.0,5.0
7022,7031.0,2016.0,Agosto,25.0,Jueves,21.0,4.0,3.0,15.0,1501.0,1.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,5.0
7023,7032.0,2016.0,Agosto,26.0,Viernes,8.0,2.0,1.0,1.0,106.0,2.0,99.0,,,,,,,,4.0,76.0,Rojo,2012.0,5.0,5.0
7031,7040.0,2016.0,Agosto,27.0,Sabado,6.0,2.0,1.0,1.0,101.0,1.0,6.0,,,,,,,,4.0,67.0,Azul,2015.0,5.0,5.0
7034,7043.0,2016.0,Agosto,27.0,Sabado,22.0,4.0,3.0,19.0,1901.0,1.0,99.0,,,,,,,,4.0,18.0,Negro,2014.0,5.0,5.0
7037,7046.0,2016.0,Agosto,27.0,Sabado,20.0,4.0,3.0,14.0,1406.0,1.0,99.0,,,,,,,,4.0,32.0,Amarillo,2007.0,4.0,5.0
7053,7062.0,2016.0,Agosto,29.0,Lunes,20.0,4.0,3.0,1.0,101.0,1.0,12.0,,,,,,,,4.0,999.0,Negro,9999.0,6.0,5.0
7059,7068.0,2016.0,Agosto,30.0,Martes,11.0,2.0,1.0,15.0,1501.0,1.0,99.0,,,,,,,,4.0,67.0,Gris,9999.0,6.0,5.0
7071,7080.0,2016.0,Septiembre,1.0,Jueves,23.0,4.0,3.0,16.0,1616.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,2007.0,4.0,5.0
7073,7082.0,2016.0,Septiembre,1.0,Jueves,22.0,4.0,3.0,1.0,101.0,1.0,9.0,,,,,,,,4.0,6.0,Negro,2015.0,5.0,5.0
7082,7091.0,2016.0,Septiembre,2.0,Viernes,14.0,3.0,2.0,18.0,1801.0,1.0,99.0,,,,,,,,4.0,35.0,Negro,9999.0,6.0,5.0
7085,7094.0,2016.0,Septiembre,2.0,Viernes,10.0,2.0,1.0,3.0,303.0,2.0,99.0,,,,,,,,4.0,32.0,Negro,2012.0,5.0,5.0
7087,7096.0,2016.0,Septiembre,3.0,Sabado,22.0,4.0,3.0,19.0,1906.0,2.0,99.0,,,,,,,,4.0,67.0,Rojo,9999.0,6.0,5.0
7088,7097.0,2016.0,Septiembre,3.0,Sabado,6.0,2.0,1.0,10.0,1010.0,2.0,99.0,,,,,,,,4.0,67.0,Rojo,9999.0,6.0,5.0
7090,7099.0,2016.0,Septiembre,3.0,Sabado,17.0,3.0,2.0,18.0,1803.0,2.0,99.0,,,,,,,,4.0,999.0,Rojo,9999.0,6.0,5.0
7099,7108.0,2016.0,Septiembre,4.0,Domingo,21.0,4.0,3.0,18.0,1801.0,1.0,99.0,,,,,,,,4.0,67.0,Negro,2014.0,5.0,5.0
7103,7112.0,2016.0,Septiembre,5.0,Lunes,12.0,3.0,2.0,1.0,101.0,1.0,1.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
7113,7122.0,2016.0,Septiembre,6.0,Martes,12.0,3.0,2.0,10.0,1002.0,1.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
7115,7124.0,2016.0,Septiembre,6.0,Martes,16.0,3.0,2.0,16.0,1601.0,2.0,99.0,,,,,,,,4.0,27.0,Negro,2015.0,5.0,5.0
7129,7138.0,2016.0,Septiembre,8.0,Jueves,10.0,2.0,1.0,13.0,1320.0,2.0,99.0,,,,,,,,4.0,999.0,Amarillo,9999.0,6.0,5.0
7133,7142.0,2016.0,Septiembre,9.0,Viernes,19.0,4.0,3.0,22.0,2201.0,2.0,99.0,,,,,,,,4.0,32.0,Negro,9999.0,6.0,5.0
7145,7154.0,2016.0,Septiembre,10.0,Sabado,20.0,4.0,3.0,21.0,2102.0,2.0,99.0,,,,,,,,4.0,76.0,Azul,9999.0,6.0,5.0
7146,7155.0,2016.0,Septiembre,10.0,Sabado,21.0,4.0,3.0,6.0,602.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
7148,7157.0,2016.0,Septiembre,10.0,Sabado,10.0,2.0,1.0,4.0,408.0,1.0,99.0,,,,,,,,4.0,6.0,Rojo,2015.0,5.0,5.0
7155,7164.0,2016.0,Septiembre,11.0,Domingo,18.0,4.0,3.0,18.0,1804.0,2.0,99.0,,,,,,,,4.0,67.0,Azul,9999.0,6.0,5.0
7158,7167.0,2016.0,Septiembre,12.0,Lunes,13.0,3.0,2.0,1.0,101.0,1.0,9.0,,,,,,,,4.0,27.0,Rojo,2013.0,5.0,5.0
7164,7173.0,2016.0,Septiembre,12.0,Lunes,18.0,4.0,3.0,10.0,1013.0,2.0,99.0,,,,,,,,4.0,27.0,Rojo,9999.0,6.0,5.0
7187,7196.0,2016.0,Septiembre,14.0,Miercoles,20.0,4.0,3.0,18.0,1805.0,2.0,99.0,,,,,,,,4.0,32.0,Blanco,9999.0,6.0,5.0
7191,7200.0,2016.0,Septiembre,15.0,Jueves,19.0,4.0,3.0,20.0,2007.0,2.0,99.0,,,,,,,,4.0,67.0,Rojo,9999.0,6.0,5.0
7200,7209.0,2016.0,Septiembre,16.0,Viernes,6.0,2.0,1.0,7.0,718.0,2.0,99.0,,,,,,,,4.0,27.0,Negro,9999.0,6.0,5.0
7210,7219.0,2016.0,Septiembre,17.0,Sabado,0.0,1.0,1.0,1.0,101.0,1.0,12.0,,,,,,,,4.0,6.0,Azul,9999.0,6.0,5.0
7212,7221.0,2016.0,Septiembre,17.0,Sabado,10.0,2.0,1.0,9.0,920.0,2.0,99.0,,,,,,,,4.0,27.0,Negro,9999.0,6.0,5.0
7213,7222.0,2016.0,Septiembre,17.0,Sabado,22.0,4.0,3.0,12.0,1222.0,2.0,99.0,,,,,,,,4.0,6.0,Negro,2013.0,5.0,5.0
7218,7227.0,2016.0,Septiembre,18.0,Domingo,23.0,4.0,3.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,32.0,Rojo,9999.0,6.0,5.0
7219,7228.0,2016.0,Septiembre,18.0,Domingo,14.0,3.0,2.0,9.0,917.0,2.0,99.0,,,,,,,,4.0,6.0,Rojo,9999.0,6.0,5.0
7221,7230.0,2016.0,Septiembre,18.0,Domingo,19.0,4.0,3.0,9.0,901.0,1.0,99.0,,,,,,,,4.0,115.0,Negro,9999.0,6.0,5.0
7226,7235.0,2016.0,Septiembre,19.0,Lunes,23.0,4.0,3.0,18.0,1801.0,1.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
7227,7236.0,2016.0,Septiembre,20.0,Martes,23.0,4.0,3.0,1.0,112.0,1.0,99.0,,,,,,,,4.0,6.0,Rojo,9999.0,6.0,5.0
7230,7239.0,2016.0,Septiembre,21.0,Miercoles,15.0,3.0,2.0,1.0,101.0,1.0,4.0,,,,,,,,4.0,27.0,Blanco,9999.0,6.0,5.0
7233,7242.0,2016.0,Septiembre,21.0,Miercoles,15.0,3.0,2.0,1.0,101.0,1.0,12.0,,,,,,,,4.0,32.0,Gris,9999.0,6.0,5.0
7238,7247.0,2016.0,Septiembre,22.0,Jueves,13.0,3.0,2.0,18.0,1801.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,2010.0,5.0,5.0
7258,7267.0,2016.0,Septiembre,26.0,Lunes,2.0,1.0,1.0,1.0,109.0,1.0,99.0,,,,,,,,4.0,999.0,Negro,9999.0,6.0,5.0
7259,7268.0,2016.0,Septiembre,26.0,Lunes,7.0,2.0,1.0,1.0,101.0,1.0,6.0,,,,,,,,4.0,67.0,Negro,9999.0,6.0,5.0
7260,7269.0,2016.0,Septiembre,26.0,Lunes,7.0,2.0,1.0,1.0,101.0,1.0,11.0,,,,,,,,4.0,6.0,Rojo,9999.0,6.0,5.0
7263,7272.0,2016.0,Septiembre,27.0,Martes,4.0,1.0,1.0,5.0,501.0,1.0,99.0,,,,,,,,4.0,6.0,Rojo,9999.0,6.0,5.0
7267,7276.0,2016.0,Septiembre,27.0,Martes,12.0,3.0,2.0,4.0,401.0,1.0,99.0,,,,,,,,4.0,67.0,Rojo,9999.0,6.0,5.0
7270,7279.0,2016.0,Septiembre,27.0,Martes,21.0,4.0,3.0,4.0,401.0,1.0,99.0,,,,,,,,4.0,999.0,Blanco,9999.0,6.0,5.0
7272,7281.0,2016.0,Septiembre,28.0,Miercoles,17.0,3.0,2.0,10.0,1008.0,1.0,99.0,,,,,,,,4.0,6.0,Rojo,2013.0,5.0,5.0
7280,7289.0,2016.0,Septiembre,30.0,Viernes,18.0,4.0,3.0,1.0,101.0,1.0,8.0,,,,,,,,4.0,3.0,Rojo,9999.0,6.0,5.0
7282,7291.0,2016.0,Septiembre,30.0,Viernes,23.0,4.0,3.0,1.0,117.0,1.0,99.0,,,,,,,,4.0,999.0,Negro,2009.0,4.0,5.0
7285,7294.0,2016.0,Septiembre,30.0,Viernes,18.0,4.0,3.0,10.0,1008.0,2.0,99.0,,,,,,,,4.0,27.0,Rojo,2005.0,4.0,5.0
7290,7299.0,2016.0,Octubre,1.0,Sabado,12.0,3.0,2.0,1.0,112.0,1.0,99.0,,,,,,,,4.0,6.0,Negro,9999.0,6.0,5.0
7299,7308.0,2016.0,Octubre,1.0,Sabado,18.0,4.0,3.0,17.0,1706.0,2.0,99.0,,,,,,,,4.0,999.0,Negro,9999.0,6.0,5.0
7305,7314.0,2016.0,Octubre,2.0,Domingo,3.0,1.0,1.0,12.0,1216.0,2.0,99.0,,,,,,,,4.0,67.0,Negro,9999.0,6.0,5.0
7307,7316.0,2016.0,Octubre,2.0,Domingo,16.0,3.0,2.0,16.0,1617.0,1.0,99.0,,,,,,,,4.0,18.0,Negro,9999.0,6.0,5.0
